% Service logfile
% 1 	Time (sec)
% 2 	Message
1738762268.0148 Setup finished OK=1
1738762319.0426 Log command: robobot/cmd/ti/log 1
1738762320.3360 Log command: robobot/cmd/ti/log 0
1738762333.6737 Log command: robobot/cmd/ti/log 1
1738762335.1403 new Master: (0) 2025-02-05 14:32:13.662275
1738762354.6863 Mixer order: robobot/cmd/ti/rc 0.0 0.0
1738762354.6958 Mixer order: robobot/cmd/ti/rc 0.250 -1.000 1738762354.6952024
1738762354.7056 Mixer order: robobot/cmd/ti/rc 0.250 -0.958 1738762354.7052393
1738762354.7149 Mixer order: robobot/cmd/ti/rc 0.250 -0.916 1738762354.7146244
1738762354.7258 Mixer order: robobot/cmd/ti/rc 0.250 -0.886 1738762354.7253597
1738762354.7352 Mixer order: robobot/cmd/ti/rc 0.250 -0.852 1738762354.7348347
1738762354.7467 Mixer order: robobot/cmd/ti/rc 0.250 -0.792 1738762354.746197
1738762354.7555 Mixer order: robobot/cmd/ti/rc 0.250 -0.759 1738762354.7551339
1738762354.7669 Mixer order: robobot/cmd/ti/rc 0.250 -0.700 1738762354.766493
1738762354.7776 Mixer order: robobot/cmd/ti/rc 0.250 -0.638 1738762354.776736
1738762354.7847 Mixer order: robobot/cmd/ti/rc 0.250 -0.562 1738762354.7844841
1738762354.7952 Mixer order: robobot/cmd/ti/rc 0.250 -0.483 1738762354.7948532
1738762354.8058 Mixer order: robobot/cmd/ti/rc 0.250 -0.387 1738762354.8050075
1738762354.8160 Mixer order: robobot/cmd/ti/rc 0.250 -0.268 1738762354.8155787
1738762354.8255 Mixer order: robobot/cmd/ti/rc 0.250 -0.155 1738762354.8249724
1738762354.8352 Mixer order: robobot/cmd/ti/rc 0.250 -0.037 1738762354.8347843
1738762354.8452 Mixer order: robobot/cmd/ti/rc 0.250 0.099 1738762354.8449962
1738762354.8554 Mixer order: robobot/cmd/ti/rc 0.250 0.234 1738762354.8551168
1738762354.8655 Mixer order: robobot/cmd/ti/rc 0.250 0.388 1738762354.8651001
1738762354.8763 Mixer order: robobot/cmd/ti/rc 0.250 0.516 1738762354.875783
1738762354.8853 Mixer order: robobot/cmd/ti/rc 0.250 0.632 1738762354.884924
1738762354.8960 Mixer order: robobot/cmd/ti/rc 0.250 0.732 1738762354.8956158
1738762354.9049 Mixer order: robobot/cmd/ti/rc 0.250 0.833 1738762354.904667
1738762354.9156 Mixer order: robobot/cmd/ti/rc 0.250 0.901 1738762354.9152632
1738762354.9263 Mixer order: robobot/cmd/ti/rc 0.250 0.951 1738762354.9247963
1738762354.9353 Mixer order: robobot/cmd/ti/rc 0.250 0.984 1738762354.934649
1738762354.9461 Mixer order: robobot/cmd/ti/rc 0.250 0.997 1738762354.94499
1738762354.9561 Mixer order: robobot/cmd/ti/rc 0.250 0.989 1738762354.955372
1738762354.9658 Mixer order: robobot/cmd/ti/rc 0.250 0.966 1738762354.9653141
1738762354.9754 Mixer order: robobot/cmd/ti/rc 0.250 0.942 1738762354.9751313
1738762354.9845 Mixer order: robobot/cmd/ti/rc 0.250 0.918 1738762354.984261
1738762354.9960 Mixer order: robobot/cmd/ti/rc 0.250 0.866 1738762354.9951663
1738762355.0055 Mixer order: robobot/cmd/ti/rc 0.250 0.826 1738762355.0046234
