% Service logfile
% 1 	Time (sec)
% 2 	Message
1739279824.1484 Setup finished OK=1
1739552411.1193 Log command: robobot/cmd/ti/log 1
1739552411.8980 Mixer order: robobot/cmd/ti/rc 0.0 0.0
1739552411.9042 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552411.9035943
1739552411.9158 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552411.9143934
1739552411.9248 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552411.9243267
1739552411.9344 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552411.9338577
1739552411.9448 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552411.9443226
1739552411.9540 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552411.953742
1739552411.9662 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552411.9641528
1739552411.9765 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552411.9751782
1739552411.9846 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552411.984013
1739552411.9946 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552411.994164
1739552412.0042 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552412.0038033
1739552412.0137 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552412.0134163
1739552412.0242 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552412.023695
1739552412.0344 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552412.0337963
1739552412.0448 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552412.0444252
1739552412.0546 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552412.054057
1739552412.0640 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552412.0635579
1739552412.0746 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552412.074182
1739552412.0840 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552412.0836577
1739552412.0949 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552412.0944505
1739552412.1047 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552412.104191
1739552412.1142 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552412.1137688
1739552412.1239 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552412.1235056
1739552412.1349 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552412.1343925
1739552412.1438 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552412.1435792
