% Pose logfile
% 1 	Time (sec)
% 2,3 	X, Y position (m)
% 4 	Heading in radians (m)
% 5 	Tilt angle, if calculated (rad)
1739552411.1234 0.045 0.007 0.2268 -3.1183
1739552411.1291 0.045 0.007 0.2268 -3.1183
1739552411.1338 0.045 0.007 0.2268 -3.1183
1739552411.1384 0.045 0.007 0.2268 -3.1183
1739552411.1442 0.045 0.007 0.2268 -3.1184
1739552411.1487 0.045 0.007 0.2268 -3.1183
1739552411.1539 0.045 0.007 0.2268 -3.1183
1739552411.1584 0.045 0.007 0.2268 -3.1183
1739552411.1635 0.045 0.007 0.2268 -3.1183
1739552411.1685 0.045 0.007 0.2268 -3.1183
1739552411.1735 0.045 0.007 0.2268 -3.1183
1739552411.1784 0.045 0.007 0.2268 -3.1183
1739552411.1834 0.045 0.007 0.2268 -3.1183
1739552411.1883 0.045 0.007 0.2268 -3.1183
1739552411.1932 0.045 0.007 0.2268 -3.1183
1739552411.1989 0.045 0.007 0.2268 -3.1183
1739552411.2039 0.045 0.007 0.2268 -3.1184
1739552411.2086 0.045 0.007 0.2268 -3.1183
1739552411.2136 0.045 0.007 0.2268 -3.1183
1739552411.2190 0.045 0.007 0.2268 -3.1183
1739552411.2238 0.045 0.007 0.2268 -3.1183
1739552411.2285 0.045 0.007 0.2268 -3.1183
1739552411.2333 0.045 0.007 0.2268 -3.1183
1739552411.2387 0.045 0.007 0.2268 -3.1183
1739552411.2438 0.045 0.007 0.2268 -3.1183
1739552411.2492 0.045 0.007 0.2268 -3.1183
1739552411.2534 0.045 0.007 0.2268 -3.1183
1739552411.2591 0.045 0.007 0.2268 -3.1183
1739552411.2639 0.045 0.007 0.2268 -3.1183
1739552411.2685 0.045 0.007 0.2268 -3.1183
1739552411.2737 0.045 0.007 0.2268 -3.1183
1739552411.2783 0.045 0.007 0.2268 -3.1183
1739552411.2841 0.045 0.007 0.2268 -3.1183
1739552411.2887 0.045 0.007 0.2268 -3.1183
1739552411.2937 0.045 0.007 0.2268 -3.1183
1739552411.2983 0.045 0.007 0.2268 -3.1183
1739552411.3035 0.045 0.007 0.2268 -3.1183
1739552411.3090 0.045 0.007 0.2268 -3.1183
1739552411.3138 0.045 0.007 0.2268 -3.1183
1739552411.3185 0.045 0.007 0.2268 -3.1183
1739552411.3244 0.045 0.007 0.2268 -3.1183
1739552411.3292 0.045 0.007 0.2268 -3.1183
1739552411.3341 0.045 0.007 0.2268 -3.1183
1739552411.3386 0.045 0.007 0.2268 -3.1183
1739552411.3434 0.045 0.007 0.2268 -3.1183
1739552411.3490 0.045 0.007 0.2268 -3.1183
1739552411.3542 0.045 0.007 0.2268 -3.1183
1739552411.3592 0.045 0.007 0.2268 -3.1183
1739552411.3646 0.045 0.007 0.2268 -3.1183
1739552411.3687 0.045 0.007 0.2268 -3.1183
1739552411.3739 0.045 0.007 0.2268 -3.1183
1739552411.3788 0.045 0.007 0.2268 -3.1183
1739552411.3837 0.045 0.007 0.2268 -3.1183
1739552411.3884 0.045 0.007 0.2268 -3.1183
1739552411.3935 0.045 0.007 0.2268 -3.1183
1739552411.3989 0.045 0.007 0.2268 -3.1183
1739552411.4038 0.045 0.007 0.2268 -3.1183
1739552411.4086 0.045 0.007 0.2268 -3.1184
1739552411.4143 0.045 0.007 0.2268 -3.1183
1739552411.4190 0.045 0.007 0.2268 -3.1184
1739552411.4241 0.045 0.007 0.2268 -3.1184
1739552411.4287 0.045 0.007 0.2268 -3.1184
1739552411.4335 0.045 0.007 0.2268 -3.1183
1739552411.4394 0.045 0.007 0.2268 -3.1184
1739552411.4443 0.000 0.000 0.0000 -3.1184
1739552411.4489 0.000 0.000 0.0000 -3.1184
1739552411.4540 0.000 0.000 0.0000 -3.1184
1739552411.4584 0.000 0.000 0.0000 -3.1184
1739552411.4643 0.000 0.000 0.0000 -3.1184
1739552411.4688 0.000 0.000 0.0000 -3.1184
1739552411.4736 0.000 0.000 0.0000 -3.1184
1739552411.4794 0.000 0.000 0.0000 -3.1184
1739552411.4837 0.000 0.000 0.0000 -3.1184
1739552411.4884 0.000 0.000 0.0000 -3.1184
1739552411.4944 0.000 0.000 0.0000 -3.1184
1739552411.4990 0.000 0.000 0.0000 -3.1184
1739552411.5040 0.000 0.000 0.0000 -3.1184
1739552411.5087 0.000 0.000 0.0000 -3.1184
1739552411.5138 0.000 0.000 0.0000 -3.1184
1739552411.5192 0.000 0.000 0.0000 -3.1184
1739552411.5239 0.000 0.000 0.0000 -3.1184
1739552411.5286 0.000 0.000 0.0000 -3.1184
1739552411.5344 0.000 0.000 0.0000 -3.1184
1739552411.5391 0.000 0.000 0.0000 -3.1184
1739552411.5442 0.000 0.000 0.0000 -3.1184
1739552411.5485 0.000 0.000 0.0000 -3.1184
1739552411.5537 0.000 0.000 0.0000 -3.1184
1739552411.5594 0.000 0.000 0.0000 -3.1184
1739552411.5641 0.000 0.000 0.0000 -3.1184
1739552411.5689 0.000 0.000 0.0000 -3.1184
1739552411.5745 0.000 0.000 0.0000 -3.1184
1739552411.5792 0.000 0.000 0.0000 -3.1184
1739552411.5841 0.000 0.000 0.0000 -3.1184
1739552411.5888 0.000 0.000 0.0000 -3.1184
1739552411.5937 0.000 0.000 0.0000 -3.1184
1739552411.5993 0.000 0.000 0.0000 -3.1184
1739552411.6047 0.000 0.000 0.0000 -3.1184
1739552411.6092 0.000 0.000 0.0000 -3.1184
1739552411.6140 0.000 0.000 0.0000 -3.1184
1739552411.6190 0.000 0.000 0.0000 -3.1184
1739552411.6240 0.000 0.000 0.0000 -3.1184
1739552411.6286 0.000 0.000 0.0000 -3.1184
1739552411.6337 0.000 0.000 0.0000 -3.1184
1739552411.6392 0.000 0.000 0.0000 -3.1184
1739552411.6441 0.000 0.000 0.0000 -3.1184
1739552411.6487 0.000 0.000 0.0000 -3.1184
1739552411.6547 0.000 0.000 0.0000 -3.1184
1739552411.6591 0.000 0.000 0.0000 -3.1184
1739552411.6644 0.000 0.000 0.0000 -3.1184
