% Motor voltage for all motors
% 1 	Time (sec)
% 2-3 	Voltage to motor (to Teensy) 1,2 (Volt)
% 4-5 	Voltage to motor (from Teensy) 1,2 (Volt)
% 6-7 	PWM to motor (+/- 2096) (from Teensy) 1,2
% 8 	Relax motor controller (standing still for some time)
1739553774.9968 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
1739553775.0207 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
1739553775.0455 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
1739553775.0708 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
1739553775.0957 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
1739553775.1204 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
1739553775.1457 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
1739553775.1705 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
1739553775.1960 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
1739553775.2210 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
1739553775.2459 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
1739553775.2710 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
1739553775.2958 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
1739553775.3207 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
1739553775.3457 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
1739553775.3704 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
1739553775.3961 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
1739553775.4211 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
1739553775.4461 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
1739553775.4712 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
1739553775.4963 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
1739553775.5214 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
1739553775.5462 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
1739553775.5709 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
1739553775.5956 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
1739553775.6206 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
1739553775.6457 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
1739553775.6705 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
1739553775.6964 0.00 0.00 0.00 0.00 0 0 1
1739549826.8323 0.00 0.00 0.00 0.00 0 0 1
